dataset,model,evaluation,window_size,hidden_size,epochs,learning_rate,MAE,RMSE,R2
FD001,GRU,all_cycles_window_30,30,64.0,20,0.001,10.241121292114258,14.023966302703919,0.7774339318275452
FD001,GRU,last_cycle_window_30,30,64.0,20,0.001,10.615509986877441,14.127662070253841,0.8757115006446838
FD001,LSTM,all_cycles_window_30,30,64.0,20,0.001,10.925615310668945,15.540256030552301,0.7267038226127625
FD001,LSTM,last_cycle_window_30,30,64.0,20,0.001,10.433533668518066,14.198314427014193,0.87446528673172
FD001,1D CNN,all_cycles_window_30,30,,20,0.001,16.127418518066406,20.955455949064987,0.5030514001846313
FD001,1D CNN,last_cycle_window_30,30,,20,0.001,15.872535705566406,21.90324418237834,0.701250433921814
FD002,GRU,all_cycles_window_30,30,64.0,20,0.001,16.537202835083008,22.752902673683746,0.4610382914543152
FD002,GRU,last_cycle_window_30,30,64.0,20,0.001,14.927616119384766,20.607796447317273,0.7677596807479858
FD002,LSTM,all_cycles_window_30,30,64.0,20,0.001,14.26684856414795,20.031897476372684,0.5822384357452393
FD002,LSTM,last_cycle_window_30,30,64.0,20,0.001,14.063708305358887,19.32353374253343,0.7958038449287415
FD002,1D CNN,all_cycles_window_30,30,,20,0.001,18.924964904785156,23.339698286680598,0.4328802824020386
FD002,1D CNN,last_cycle_window_30,30,,20,0.001,17.621807098388672,21.842788085714282,0.739090085029602
FD003,GRU,all_cycles_window_30,30,64.0,20,0.001,7.520110607147217,12.149110084878323,0.7911757230758667
FD003,GRU,last_cycle_window_30,30,64.0,20,0.001,8.896507263183594,12.96536688741937,0.8904154896736145
FD003,LSTM,all_cycles_window_30,30,64.0,20,0.001,7.60871696472168,12.598066248173145,0.7754567861557007
FD003,LSTM,last_cycle_window_30,30,64.0,20,0.001,10.271719932556152,14.869913722226007,0.8558560013771057
FD003,1D CNN,all_cycles_window_30,30,,20,0.001,12.5042724609375,17.781148739276695,0.5526867508888245
FD003,1D CNN,last_cycle_window_30,30,,20,0.001,17.075990676879883,22.874910615006375,0.6588869094848633
FD004,GRU,all_cycles_window_30,30,64.0,20,0.001,12.147514343261719,19.568072320637594,0.4867299795150757
FD004,GRU,last_cycle_window_30,30,64.0,20,0.001,15.146331787109375,20.866552048308453,0.7617541551589966
FD004,LSTM,all_cycles_window_30,30,64.0,20,0.001,11.42156982421875,17.883405509772267,0.571303129196167
FD004,LSTM,last_cycle_window_30,30,64.0,20,0.001,15.120835304260254,20.631150686816024,0.7670992612838745
FD004,1D CNN,all_cycles_window_30,30,,20,0.001,14.978211402893066,20.596517235124896,0.43136000633239746
FD004,1D CNN,last_cycle_window_30,30,,20,0.001,21.07598876953125,25.62166517934578,0.6407980918884277
