dataset,model,evaluation,MAE,RMSE,R2
FD001,Linear Regression,last_cycle,16.56873644302419,20.830452418997652,0.7297985369402362
FD001,Random Forest,last_cycle,12.170970448214593,17.49007502562009,0.8095093621349086
FD001,Gradient Boosting,last_cycle,12.076587072171916,17.35816030906852,0.8123719862844714
FD002,Linear Regression,last_cycle,17.529263562971675,21.36448279883006,0.7524428795212431
FD002,Random Forest,last_cycle,14.225466359082365,18.732593389440964,0.8096791065082619
FD002,Gradient Boosting,last_cycle,16.318891503536246,20.39913514388183,0.7743090391954823
FD003,Linear Regression,last_cycle,16.912881204107354,21.16319520360562,0.7080273989936807
FD003,Random Forest,last_cycle,14.7682748082209,20.195260625222485,0.7341243604094405
FD003,Gradient Boosting,last_cycle,15.039409385286753,20.78364107078956,0.7184063284171901
FD004,Linear Regression,last_cycle,19.958165581340843,24.471756819275083,0.6758289488493493
FD004,Random Forest,last_cycle,15.267722834872833,20.657117058825683,0.7690152256809136
FD004,Gradient Boosting,last_cycle,17.63088469642166,22.22815243250675,0.7325450345021243
